cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
bubble,2,True,4,6,512,8,1.33,0,1.4533,0
bubble,2,True,4,7,512,8,1.33,0,1.4858,0
bubble,2,True,4,8,256,8,1.33,0,1.3717,0
bubble,2,True,5,0,512,24,2,0,1.092,0
bubble,2,True,5,1,768,24,2,0,1.1509,1
bubble,2,True,5,2,512,24,2,0,1.081,0
bubble,2,True,5,3,256,24,2,0,0.7285,0
bubble,2,True,5,4,256,24,2,0,0.7503,0
bubble,2,True,5,5,256,24,2,0,0.7147,0
bubble,2,True,5,6,512,24,2,0,0.7875,0
bubble,2,True,5,7,768,24,2,0,0.8673,0
bubble,2,True,5,8,768,24,2,0,0.8835,0
bubble,2,True,6,0,768,8,1.33,0.5,1.7715,0
bubble,2,True,6,1,512,8,1.33,0.5,1.7701,0
bubble,2,True,6,2,512,8,1.33,0.5,0.9498,0
bubble,2,True,6,3,256,8,1.33,0.5,1.2944,0
bubble,2,True,6,4,256,8,1.33,0.5,1.1814,0
bubble,2,True,6,5,768,8,1.33,0.5,1.2294,0
bubble,2,True,6,6,256,8,1.33,0.5,1.3653,0
bubble,2,True,6,7,768,8,1.33,0.5,1.2321,0
bubble,2,True,6,8,512,8,1.33,0.5,1.1514,0
bubble,2,True,7,0,256,24,2,1,0.7557,0
bubble,2,True,7,1,768,24,2,1,1.0581,0
bubble,2,True,7,2,256,24,2,1,0.9068,0
bubble,2,True,7,3,512,24,2,1,0.7843,0
bubble,2,True,7,4,768,24,2,1,1.0371,0
bubble,2,True,7,5,512,24,2,1,1.0312,0
bubble,2,True,7,6,512,24,2,1,1.0822,0
bubble,2,True,7,7,256,24,2,1,0.9069,0
bubble,2,True,7,8,768,24,2,1,0.8912,0
bubble,2,True,8,0,512,16,3,0,0.8024,0
bubble,2,True,8,1,768,16,3,0,0.9187,0
bubble,2,True,8,2,256,16,3,0,0.7489,0
bubble,2,True,8,3,768,16,3,0,0.8567,0
bubble,2,True,8,4,256,16,3,0,0.6745,0
bubble,2,True,8,5,512,16,3,0,0.6481,0
bubble,2,True,8,6,768,16,3,0,0.7929,0
bubble,2,True,8,7,512,16,3,0,0.7737,0
bubble,2,True,8,8,256,16,3,0,0.6944,0
bubble,2,True,9,0,768,24,1.33,0.5,0.864,0
bubble,2,True,9,1,256,24,1.33,0.5,1.4761,1
bubble,2,True,9,2,256,24,1.33,0.5,1.0681,0
bubble,2,True,9,3,768,24,1.33,0.5,1.2203,0
bubble,2,True,9,4,256,24,1.33,0.5,0.8836,0
bubble,2,True,9,5,512,24,1.33,0.5,0.9441,0
bubble,2,True,9,6,512,24,1.33,0.5,0.8412,0
bubble,2,True,9,7,512,24,1.33,0.5,1.031,0
bubble,2,True,9,8,768,24,1.33,0.5,0.9523,0
bubble,2,True,10,0,256,8,3,1,1.4761,0
bubble,2,True,10,1,256,8,3,1,2.5861,1
bubble,2,True,10,2,512,8,3,1,1.2074,0
bubble,2,True,10,3,768,8,3,1,1.0412,0
bubble,2,True,10,4,512,8,3,1,1.0139,0
bubble,2,True,10,5,768,8,3,1,1.0008,0
bubble,2,True,10,6,256,8,3,1,1.0274,0
bubble,2,True,10,7,768,8,3,1,0.9846,0
bubble,2,True,10,8,512,8,3,1,1.0184,0
bubble,2,True,11,0,512,24,3,0,1.1963,0
bubble,2,True,11,1,256,24,3,0,0.7639,0
bubble,2,True,11,2,768,24,3,0,0.74,0
bubble,2,True,11,3,512,24,3,0,0.7094,0
bubble,2,True,11,4,768,24,3,0,0.9798,0
bubble,2,True,11,5,768,24,3,0,0.8703,0
bubble,2,True,11,6,256,24,3,0,0.7664,0
bubble,2,True,11,7,256,24,3,0,0.6462,0
bubble,2,True,11,8,512,24,3,0,0.6802,0
bubble,2,True,12,0,768,24,1.33,0,1.0651,0
bubble,2,True,12,1,768,24,1.33,0,0.9457,0
bubble,2,True,12,2,512,24,1.33,0,0.7837,0
bubble,2,True,12,3,512,24,1.33,0,0.8841,0
bubble,2,True,12,4,256,24,1.33,0,0.8046,0
bubble,2,True,12,5,768,24,1.33,0,0.9499,0
bubble,2,True,12,6,256,24,1.33,0,0.8695,0
bubble,2,True,12,7,512,24,1.33,0,1.0071,0
bubble,2,True,12,8,256,24,1.33,0,0.6697,0
bubble,2,True,13,0,512,8,3,0,0.9535,0
bubble,2,True,13,1,256,8,3,0,1.0103,0
bubble,2,True,13,2,512,8,3,0,0.9264,0
bubble,2,True,13,3,256,8,3,0,0.8372,0
bubble,2,True,13,4,768,8,3,0,1.0709,0
bubble,2,True,13,5,768,8,3,0,1.2073,0
bubble,2,True,13,6,256,8,3,0,1.0386,0
bubble,2,True,13,7,512,8,3,0,0.9629,0
bubble,2,True,13,8,768,8,3,0,1.0139,0
bubble,2,True,14,0,512,24,2,0.5,0.8008,0
bubble,2,True,14,1,512,24,2,0.5,0.9935,0
bubble,2,True,14,2,768,24,2,0.5,0.7756,0
bubble,2,True,14,3,768,24,2,0.5,0.8532,0
bubble,2,True,14,4,256,24,2,0.5,0.6298,0
bubble,2,True,14,5,256,24,2,0.5,0.6762,0
bubble,2,True,14,6,512,24,2,0.5,0.6333,0
bubble,2,True,14,7,256,24,2,0.5,0.7486,0
bubble,2,True,14,8,768,24,2,0.5,0.8815,0
bubble,2,True,15,0,512,16,2,1,1.0067,0
bubble,2,True,15,1,256,16,2,1,0.9437,0
bubble,2,True,15,2,512,16,2,1,1.5136,0
