cursor,block,recorded,combo_index,A,W,EW,selection_index,movement_time_s,errors
point,3,True,22,768,24,32,1,0.9319,0
point,3,True,22,768,24,32,2,1.585,0
point,3,True,22,768,24,32,3,0.9208,0
point,3,True,22,768,24,32,4,1.2389,0
point,3,True,22,768,24,32,5,0.7441,0
point,3,True,23,384,24,32,1,1.0633,0
point,3,True,23,384,24,32,2,0.7001,0
point,3,True,23,384,24,32,3,0.9331,0
point,3,True,23,384,24,32,4,0.9082,0
point,3,True,23,384,24,32,5,0.8395,0
point,3,True,24,768,16,32,1,1.4041,0
point,3,True,24,768,16,32,2,0.9518,0
point,3,True,24,768,16,32,3,0.8945,0
point,3,True,24,768,16,32,4,1.2809,1
point,3,True,24,768,16,32,5,0.9511,0
point,3,True,25,192,24,64,1,1.0123,0
point,3,True,25,192,24,64,2,0.8,1
point,3,True,25,192,24,64,3,0.9126,0
point,3,True,25,192,24,64,4,0.7931,0
point,3,True,25,192,24,64,5,1.0553,0
point,3,True,26,384,16,32,1,1.5405,2
point,3,True,26,384,16,32,2,0.728,0
point,3,True,26,384,16,32,3,0.879,0
point,3,True,26,384,16,32,4,0.8523,0
point,3,True,26,384,16,32,5,0.9805,1
