cursor,block,recorded,combo_index,selection_index,A,W,EW_ratio,D,movement_time_s,errors
point,2,True,13,4,512,8,1.33,0.5,1.2547,0
point,2,True,13,5,512,8,1.33,0.5,1.5699,1
point,2,True,13,6,256,8,1.33,0.5,1.2968,0
point,2,True,13,7,512,8,1.33,0.5,1.3637,0
point,2,True,13,8,768,8,1.33,0.5,1.146,0
point,2,True,14,0,512,8,1.33,1,1.1653,0
point,2,True,14,1,256,8,1.33,1,1.3556,0
point,2,True,14,2,512,8,1.33,1,1.2961,0
point,2,True,14,3,256,8,1.33,1,1.4193,1
point,2,True,14,4,768,8,1.33,1,1.2716,0
point,2,True,14,5,768,8,1.33,1,1.2397,0
point,2,True,14,6,768,8,1.33,1,1.5771,0
point,2,True,14,7,512,8,1.33,1,1.308,0
point,2,True,14,8,256,8,1.33,1,1.2423,0
point,2,True,15,0,512,16,2,1,0.8143,0
point,2,True,15,1,256,16,2,1,0.9913,0
point,2,True,15,2,768,16,2,1,1.3439,0
point,2,True,15,3,256,16,2,1,1.0064,0
point,2,True,15,4,768,16,2,1,1.1764,0
point,2,True,15,5,256,16,2,1,1.0137,0
point,2,True,15,6,512,16,2,1,1.0487,1
point,2,True,15,7,512,16,2,1,1.1596,0
point,2,True,15,8,768,16,2,1,1.4474,0
point,2,True,16,0,512,24,3,0,1.0244,0
point,2,True,16,1,256,24,3,0,0.8186,0
point,2,True,16,2,768,24,3,0,0.751,0
point,2,True,16,3,512,24,3,0,0.9313,0
point,2,True,16,4,768,24,3,0,0.8748,0
point,2,True,16,5,512,24,3,0,0.8693,0
point,2,True,16,6,256,24,3,0,0.6698,0
point,2,True,16,7,256,24,3,0,0.9696,1
point,2,True,16,8,768,24,3,0,0.984,0
point,2,True,17,0,256,8,3,0.5,1.2564,1
point,2,True,17,1,256,8,3,0.5,1.0192,0
point,2,True,17,2,768,8,3,0.5,1.1387,0
point,2,True,17,3,768,8,3,0.5,1.3491,0
point,2,True,17,4,768,8,3,0.5,1.2205,0
point,2,True,17,5,512,8,3,0.5,1.7145,1
point,2,True,17,6,256,8,3,0.5,1.2981,0
point,2,True,17,7,512,8,3,0.5,1.4033,2
point,2,True,17,8,512,8,3,0.5,1.6019,1
point,2,True,18,0,256,24,2,0.5,0.844,0
point,2,True,18,1,768,24,2,0.5,1.2233,1
point,2,True,18,2,512,24,2,0.5,1.1688,1
point,2,True,18,3,512,24,2,0.5,1.144,0
point,2,True,18,4,768,24,2,0.5,1.1361,0
point,2,True,18,5,256,24,2,0.5,0.8201,0
point,2,True,18,6,256,24,2,0.5,0.7711,0
point,2,True,18,7,768,24,2,0.5,0.9678,0
point,2,True,18,8,512,24,2,0.5,0.872,0
point,2,True,19,0,512,8,2,0,1.0108,0
point,2,True,19,1,256,8,2,0,1.0665,0
point,2,True,19,2,256,8,2,0,1.4585,0
point,2,True,19,3,512,8,2,0,1.2247,0
point,2,True,19,4,768,8,2,0,1.187,0
point,2,True,19,5,512,8,2,0,1.686,2
point,2,True,19,6,256,8,2,0,1.3899,1
point,2,True,19,7,768,8,2,0,1.1759,0
point,2,True,19,8,768,8,2,0,1.1808,0
point,2,True,20,0,256,16,1.33,0,0.8866,0
point,2,True,20,1,768,16,1.33,0,1.2544,0
point,2,True,20,2,256,16,1.33,0,1.1098,0
point,2,True,20,3,768,16,1.33,0,1.3741,2
point,2,True,20,4,256,16,1.33,0,0.966,0
point,2,True,20,5,512,16,1.33,0,1.1091,0
point,2,True,20,6,512,16,1.33,0,1.3485,1
point,2,True,20,7,768,16,1.33,0,1.4968,1
point,2,True,20,8,512,16,1.33,0,1.1146,0
point,2,True,21,0,768,24,2,1,1.7736,2
point,2,True,21,1,512,24,2,1,0.7451,0
point,2,True,21,2,512,24,2,1,1.256,1
point,2,True,21,3,256,24,2,1,0.8819,0
point,2,True,21,4,768,24,2,1,0.9268,0
point,2,True,21,5,256,24,2,1,0.8249,0
point,2,True,21,6,768,24,2,1,1.2143,0
point,2,True,21,7,256,24,2,1,1.3042,2
point,2,True,21,8,512,24,2,1,1.6538,1
point,2,True,22,0,256,16,3,1,0.7482,0
point,2,True,22,1,256,16,3,1,0.8691,0
point,2,True,22,2,512,16,3,1,1.2519,0
point,2,True,22,3,768,16,3,1,1.016,0
point,2,True,22,4,512,16,3,1,1.0654,0
point,2,True,22,5,512,16,3,1,0.9464,0
point,2,True,22,6,768,16,3,1,1.2711,0
point,2,True,22,7,768,16,3,1,1.7707,0
point,2,True,22,8,256,16,3,1,1.0913,1
point,2,True,23,0,512,8,1.33,0,1.6626,0
point,2,True,23,1,768,8,1.33,0,1.3899,0
point,2,True,23,2,768,8,1.33,0,1.3546,0
point,2,True,23,3,256,8,1.33,0,1.3574,0
point,2,True,23,4,256,8,1.33,0,1.1483,0
point,2,True,23,5,256,8,1.33,0,2.7238,2
point,2,True,23,6,512,8,1.33,0,1.0955,0
point,2,True,23,7,768,8,1.33,0,1.2388,0
point,2,True,23,8,512,8,1.33,0,1.9626,0
point,2,True,24,0,256,16,2,0.5,0.9751,0
point,2,True,24,1,768,16,2,0.5,1.3903,1
point,2,True,24,2,768,16,2,0.5,1.0041,0
point,2,True,24,3,512,16,2,0.5,1.0711,0
point,2,True,24,4,768,16,2,0.5,1.151,0
point,2,True,24,5,256,16,2,0.5,0.998,0
point,2,True,24,6,256,16,2,0.5,0.828,0
point,2,True,24,7,512,16,2,0.5,1.0994,0
point,2,True,24,8,512,16,2,0.5,1.718,2
point,2,True,25,0,256,16,2,0,0.8962,0
point,2,True,25,1,256,16,2,0,1.2378,1
point,2,True,25,2,512,16,2,0,0.9116,0
point,2,True,25,3,768,16,2,0,1.1186,0
point,2,True,25,4,512,16,2,0,1.1873,1
point,2,True,25,5,256,16,2,0,0.7988,0
point,2,True,25,6,512,16,2,0,1.2063,1
point,2,True,25,7,768,16,2,0,1.6701,2
point,2,True,25,8,768,16,2,0,0.8384,0
point,2,True,26,0,256,8,3,1,0.8926,0
point,2,True,26,1,768,8,3,1,1.5614,0
point,2,True,26,2,512,8,3,1,1.279,0
point,2,True,26,3,256,8,3,1,1.3067,1
point,2,True,26,4,512,8,3,1,2.5666,3
point,2,True,26,5,768,8,3,1,1.6316,1
point,2,True,26,6,256,8,3,1,0.9269,0
point,2,True,26,7,512,8,3,1,2.501,3
point,2,True,26,8,768,8,3,1,1.6616,1
